time,open,high,low,close,Shapes,Shapes
1711410300,1.0838,1.08386,1.08366,1.0837,0,0
1711411200,1.0837,1.08386,1.08361,1.0837,0,1
1711412100,1.0837,1.08388,1.08364,1.08385,0,0
1711413000,1.08385,1.08406,1.0838,1.08402,0,0
1711413900,1.08402,1.08429,1.084,1.08427,0,0
1711414800,1.08427,1.0843,1.08404,1.08424,0,0
1711415700,1.08424,1.08459,1.08401,1.08416,1,0
1711416600,1.08416,1.08425,1.08396,1.08402,0,0
1711417500,1.08402,1.08413,1.08388,1.08405,0,1
1711418400,1.08405,1.08417,1.08398,1.08412,0,0
1711419300,1.08412,1.08438,1.08412,1.08438,0,0
1711420200,1.08438,1.08444,1.08426,1.08433,1,0
1711421100,1.08433,1.08438,1.08418,1.08427,0,0
1711422000,1.08427,1.08443,1.08407,1.08407,1,0
1711422900,1.08407,1.08424,1.08407,1.08415,0,0
1711423800,1.08415,1.08418,1.08359,1.0836,0,1
1711424700,1.0836,1.08374,1.0836,1.08368,0,0
1711425600,1.08368,1.08387,1.08366,1.08384,0,0
1711426500,1.08384,1.08402,1.08376,1.084,0,0
1711427400,1.084,1.08409,1.0839,1.08396,0,0
1711428300,1.08396,1.08414,1.08392,1.08403,0,0
1711429200,1.08403,1.08426,1.08398,1.08426,0,0
1711430100,1.08426,1.08436,1.08414,1.08432,0,0
1711431000,1.08432,1.08447,1.0843,1.08446,0,0
1711431900,1.08446,1.08484,1.08444,1.08472,0,0
1711432800,1.08472,1.08496,1.0847,1.08487,0,0
1711433700,1.08487,1.08498,1.08463,1.08497,0,1
1711434600,1.08497,1.08522,1.08496,1.08502,1,0
1711435500,1.08502,1.08518,1.08486,1.08508,0,1
1711436400,1.08508,1.0853,1.08491,1.08508,1,0
1711437300,1.08508,1.08508,1.08464,1.08475,0,0
1711438200,1.08475,1.08495,1.08428,1.08444,0,0
1711439100,1.08444,1.08458,1.08398,1.08424,0,0
1711440000,1.08424,1.08431,1.08387,1.08411,0,1
1711440900,1.08411,1.08462,1.08402,1.08458,0,0
1711441800,1.08458,1.08516,1.08458,1.08496,1,0
1711442700,1.08496,1.08504,1.08453,1.08495,0,1
1711443600,1.08495,1.08507,1.08463,1.08472,0,0
1711444500,1.08472,1.08536,1.08455,1.08533,0,1
1711445400,1.08533,1.0856,1.08512,1.08524,1,0
1711446300,1.08524,1.08552,1.08521,1.08538,0,0
1711447200,1.08538,1.08595,1.08528,1.08592,0,0
1711448100,1.08592,1.08621,1.08572,1.0862,0,0
1711449000,1.0862,1.08644,1.08587,1.08594,1,0
1711449900,1.08594,1.08594,1.08552,1.08552,0,0
1711450800,1.08552,1.08594,1.0854,1.08563,0,0
1711451700,1.08563,1.08572,1.08533,1.08548,0,1
1711452600,1.08548,1.086,1.08546,1.08583,0,0
1711453500,1.08583,1.086,1.08566,1.0857,0,0
1711454400,1.0857,1.08583,1.08553,1.08582,0,0
1711455300,1.08582,1.08594,1.08492,1.08516,1,1
1711456200,1.08516,1.08563,1.08496,1.0851,0,0
1711457100,1.0851,1.08533,1.08488,1.08521,0,1
1711458000,1.08521,1.08586,1.08512,1.08576,0,0
1711458900,1.08576,1.08586,1.08506,1.08525,0,0
1711459800,1.08525,1.08533,1.08468,1.08506,0,1
1711460700,1.08506,1.08539,1.0848,1.0853,0,0
1711461600,1.0853,1.0855,1.0848,1.08485,1,0
1711462500,1.08485,1.08488,1.08414,1.08424,0,0
1711463400,1.08424,1.08461,1.0838,1.0843,0,1
1711464300,1.0843,1.08434,1.08384,1.08412,0,0
1711465200,1.08412,1.08417,1.08366,1.08375,0,1
1711466100,1.08375,1.08444,1.08368,1.08414,1,0
1711467000,1.08414,1.08417,1.0833,1.08331,0,0
1711467900,1.08331,1.08369,1.08253,1.08282,0,1
1711468800,1.08282,1.08323,1.08276,1.08289,0,0
1711469700,1.08289,1.08296,1.08244,1.0828,0,1
1711470600,1.0828,1.08298,1.0828,1.08292,0,0
1711471500,1.08292,1.08323,1.08282,1.08284,0,0
1711472400,1.08284,1.08349,1.08268,1.08349,0,1
1711473300,1.08349,1.08349,1.08323,1.08342,0,0
1711474200,1.08342,1.08358,1.08332,1.08332,1,0
1711475100,1.08332,1.08334,1.08304,1.08305,0,0
